user_id,total_orders,avg_days_between_orders,max_order_number,churn
8027,24,2.4782608695652169,24,0
171954,24,2.8260869565217388,24,0
96434,24,3.0,24,0
50506,24,3.043478260869565,24,0
74343,24,3.1304347826086958,24,0
23585,24,3.1739130434782608,24,0
120386,24,3.4347826086956523,24,0
79553,24,3.4347826086956528,24,0
188945,24,3.4782608695652169,24,0
132135,24,3.4782608695652169,24,0
129138,24,3.5217391304347827,24,0
202215,24,3.5652173913043477,24,0
158118,24,3.6086956521739126,24,0
52837,24,3.6086956521739131,24,1
101559,24,3.6521739130434785,24,0
159754,24,3.6521739130434785,24,0
22480,24,3.7391304347826084,24,0
94348,24,3.8260869565217392,24,0
118378,24,3.8260869565217397,24,0
33305,24,3.9130434782608692,24,0
132783,24,3.91304347826087,24,0
129128,24,3.9130434782608705,24,0
69706,24,3.9565217391304341,24,0
104177,24,3.9565217391304341,24,0
163388,24,3.9565217391304346,24,0
134816,24,3.956521739130435,24,0
63276,24,3.9999999999999991,24,0
146636,24,4.0,24,0
176295,24,4.0434782608695654,24,0
87457,24,4.086956521739129,24,0
24580,24,4.1304347826086945,24,0
55194,24,4.1304347826086953,24,0
136728,24,4.1304347826086962,24,0
161541,24,4.1739130434782608,24,0
160472,24,4.1739130434782608,24,0
137066,24,4.1739130434782616,24,0
192761,24,4.1739130434782616,24,0
113999,24,4.1739130434782616,24,0
35058,24,4.2173913043478262,24,0
122643,24,4.2173913043478262,24,0
101497,24,4.2173913043478262,24,0
195713,24,4.2608695652173907,24,0
163560,24,4.2608695652173907,24,0
197937,24,4.2608695652173916,24,0
151254,24,4.2608695652173916,24,0
49747,24,4.3043478260869561,24,0
52230,24,4.3043478260869561,24,0
24560,24,4.3043478260869579,24,0
84975,24,4.3478260869565215,24,0
188133,24,4.391304347826086,24,0
82365,24,4.3913043478260869,24,0
13127,24,4.3913043478260869,24,0
39514,24,4.3913043478260878,24,0
11162,24,4.4347826086956514,24,0
78518,24,4.4347826086956532,24,0
172140,24,4.4782608695652169,24,0
5479,24,4.4782608695652177,24,0
168974,24,4.4782608695652177,24,0
156641,24,4.4782608695652186,24,0
31961,24,4.5652173913043477,24,0
57511,24,4.6086956521739122,24,0
205176,24,4.6521739130434785,24,0
32543,24,4.695652173913043,24,0
203600,24,4.6956521739130439,24,0
116710,24,4.7391304347826084,24,0
158558,24,4.7826086956521738,24,0
99264,24,4.7826086956521738,24,0
131989,24,4.8260869565217384,24,0
65638,24,4.8260869565217392,24,0
67083,24,4.8695652173913029,24,0
83952,24,4.8695652173913038,24,0
98800,24,4.8695652173913047,24,0
174694,24,4.9130434782608692,24,0
113846,24,4.9565217391304355,24,0
44979,24,5.0000000000000009,24,0
69296,24,5.0434782608695654,24,0
190667,24,5.0434782608695663,24,0
95809,24,5.0869565217391282,24,0
5197,24,5.08695652173913,24,0
125664,24,5.1304347826086953,24,0
72993,24,5.1304347826086962,24,0
153287,24,5.1739130434782608,24,0
159767,24,5.1739130434782608,24,0
117822,24,5.1739130434782608,24,0
199848,24,5.1739130434782616,24,0
10257,24,5.2173913043478262,24,0
67903,24,5.2173913043478262,24,0
175,24,5.2608695652173916,24,0
183598,24,5.2608695652173916,24,0
58581,24,5.2608695652173916,24,0
112915,24,5.2608695652173916,24,0
87425,24,5.3043478260869579,24,0
98630,24,5.3478260869565215,24,0
14996,24,5.3478260869565215,24,0
66011,24,5.3478260869565215,24,0
115259,24,5.391304347826086,24,0
201090,24,5.391304347826086,24,0
295,24,5.3913043478260869,24,0
21645,24,5.4347826086956523,24,0
119027,24,5.5217391304347831,24,0
127125,24,5.5217391304347831,24,0
195115,24,5.5217391304347831,24,0
123247,24,5.5652173913043468,24,0
137785,24,5.5652173913043486,24,1
133414,24,5.6086956521739113,24,0
160319,24,5.6086956521739122,24,0
86502,24,5.6086956521739131,24,0
99993,24,5.608695652173914,24,0
8092,24,5.608695652173914,24,1
175164,24,5.6521739130434776,24,0
11234,24,5.6521739130434776,24,0
123527,24,5.6521739130434785,24,0
54371,24,5.6521739130434794,24,1
4265,24,5.7391304347826084,24,0
3615,24,5.7826086956521738,24,0
1532,24,5.7826086956521747,24,0
18728,24,5.8260869565217392,24,0
195433,24,5.82608695652174,24,0
142843,24,5.8695652173913038,24,0
133461,24,5.8695652173913038,24,0
183282,24,5.8695652173913047,24,0
7012,24,5.8695652173913047,24,0
8019,24,5.9130434782608683,24,0
94918,24,5.91304347826087,24,0
117345,24,5.91304347826087,24,0
30611,24,5.9565217391304337,24,0
160577,24,5.9565217391304364,24,1
103239,24,6.0,24,0
145595,24,6.0,24,0
35246,24,6.0,24,0
50592,24,6.0,24,1
199173,24,6.0434782608695645,24,0
155596,24,6.0434782608695654,24,0
43946,24,6.086956521739129,24,0
52859,24,6.08695652173913,24,0
181225,24,6.0869565217391308,24,0
115995,24,6.0869565217391308,24,0
176006,24,6.1304347826086945,24,0
90760,24,6.1739130434782608,24,0
12656,24,6.1739130434782616,24,0
81659,24,6.2173913043478262,24,1
180344,24,6.2173913043478262,24,0
178308,24,6.2173913043478262,24,0
27893,24,6.2173913043478271,24,0
108841,24,6.2608695652173907,24,0
73390,24,6.2608695652173925,24,0
119821,24,6.2608695652173925,24,0
203014,24,6.3043478260869561,24,0
144446,24,6.304347826086957,24,1
197965,24,6.3478260869565215,24,0
58048,24,6.3478260869565224,24,0
149255,24,6.3913043478260851,24,1
128415,24,6.391304347826086,24,0
42399,24,6.391304347826086,24,0
146648,24,6.3913043478260878,24,0
175611,24,6.3913043478260878,24,0
125778,24,6.3913043478260878,24,0
197356,24,6.4347826086956514,24,0
85443,24,6.4347826086956514,24,0
69859,24,6.4347826086956523,24,0
44776,24,6.4347826086956523,24,0
134595,24,6.4347826086956523,24,1
10491,24,6.5652173913043477,24,0
205250,24,6.5652173913043477,24,0
51847,24,6.5652173913043477,24,0
185941,24,6.5652173913043486,24,0
91775,24,6.5652173913043486,24,0
76381,24,6.6086956521739122,24,0
26719,24,6.6086956521739131,24,0
12253,24,6.608695652173914,24,1
127182,24,6.6521739130434776,24,0
108466,24,6.6521739130434776,24,0
33419,24,6.6521739130434785,24,0
147925,24,6.695652173913043,24,0
139980,24,6.6956521739130439,24,0
